,0.4,0.8,1.2,1.6,2.0
495.4,2.038479222,1.955152704,1.652573686,1.407413289,0.5009621119
496.2,2.041611065,1.958834829,1.660391987,1.409991786,0.5083931424
497.0,2.035694798,1.952746974,1.656143443,1.412619477,0.5159169113
497.8,2.039774017,1.956992263,1.65538468,1.415565429,0.5235673686
498.6,2.032297995,1.961939814,1.654342171,1.419112924,0.5314290724
499.4,2.041921251,1.957704419,1.653567864,1.422963049,0.5389531165
500.2,2.028622846,1.951315642,1.654027298,1.425177031,0.5457651731
501.0,2.026401384,1.94250781,1.653137714,1.425626164,0.5532374053
501.8,2.023965627,1.947229189,1.653764138,1.430058889,0.5609947682
502.6,2.032667921,1.951945143,1.652047901,1.435866744,0.5695228947
503.4,2.030583773,1.95337536,1.64560412,1.441055927,0.5770996361
504.2,2.029224908,1.954353745,1.63885609,1.439092886,0.5848844904
505.0,2.030539058,1.94757028,1.636126531,1.439731808,0.5930583174
505.8,2.034190787,1.941424986,1.640847803,1.440270186,0.6015836806
506.6,2.0258535,1.937187803,1.647344134,1.442287652,0.6094051221
507.3,2.021158272,1.937011299,1.655099143,1.443772228,0.6168366464
508.1,2.007386279,1.931134991,1.654248763,1.445142124,0.6254479846
508.9,1.997475526,1.92094104,1.652712381,1.449436895,0.6343371726
509.7,1.990599681,1.915303103,1.648764429,1.455212479,0.6429085676
510.5,1.985669751,1.921125617,1.652503297,1.455627532,0.6511731317
511.3,1.992090434,1.912487775,1.652230921,1.457434184,0.6603435454
512.1,1.981647823,1.906004687,1.646763663,1.45648905,0.6701419139
512.9,1.998240689,1.897848062,1.643403024,1.462463071,0.6797864256
513.7,1.995887072,1.901497126,1.641113599,1.46338264,0.6898539447
514.5,1.999121905,1.895065058,1.642763408,1.466926899,0.699179194
515.3,1.979556484,1.890186649,1.642407155,1.468886993,0.708951527
516.1,1.978890136,1.893842409,1.652782904,1.474113085,0.7179310222
516.9,1.979358155,1.89481364,1.65134068,1.475998544,0.7277811961
517.7,1.987716396,1.886104561,1.64940525,1.477399496,0.737827283
518.4,1.985662789,1.880922385,1.639254798,1.482015698,0.7471704021
519.2,1.98159369,1.880158077,1.647854651,1.485145785,0.7559376608
520.0,1.984833908,1.890746493,1.649879573,1.489707356,0.7646668254
